Airport Code;Airport Name;City Name;Country Name;Country Code;Latitude;Longitude;World Area Code;City Name geo_name_id;Country Name geo_name_id;coordinates,,
CRS;Corsicana;Corsicana;United States;US;32.1;-96.466667;67;4683462;6252001;32.1,,
VLD;Regional;Valdosta;United States;US;30.783333;-83.283333;67;4228147;6252001;30.783333,,
CIR;Cairo;Cairo;United States;US;4.666667;-76.016667;67;5111056;6252001;4.666667,,
CRP;Corpus Christi International Airport;Corpus Christi,-97.501111,
SIV;County;Sullivan;United States;US;39.1;-87.4;67;4980155;6252001;39.1,,
FBY;Municipal;Fairbury;United States;US;40.133333;-97.183333;67;5067896;6252001;40.133333,,
PAK;Port Allen;Hanapepe;United States;US;21.916667;-159.583333;67;5855631;6252001;21.916667,,
RWL;Rawlins;Rawlins;United States;US;41.8;-107.2;67;5836068;6252001;41.8,,
EKO;Elko Regional;Elko,-115.791667,
FNK;Fin Creek;Fin Creek;United States;US;69.5;-147.583333;67;\N;6252001;69.5,,
PBF;Grider Field;Pine Bluff;United States;US;34.183333;-91.933333;67;4126226;6252001;34.183333,,
EDE;Municipal;Edenton;United States;US;36.066667;-76.65;67;4464897;6252001;36.066667,,
PCU;Pearl River County;Picayune;United States;US;30.516666999999998;-89.705556;67;4440975;6252001;30.516666999999998,,
HWD;Air Terminal;Hayward;United States;US;37.666667;-122.083333;67;5355933;6252001;37.666667,,
JNU;Boundary Bay;Juneau;United States;US;58.35;-134.583333;67;5554072;6252001;58.35,,
CFT;Morenci;Clifton;United States;US;32.95;-109.2;67;5417258;6252001;32.95,,
RSH;Russian SPB;Russian Mission;United States;US;61.783333;-161.333333;67;\N;6252001;61.783333,,
OPL;St Landry Parish;Opelousas;United States;US;30.55;-92.1;67;4336153;6252001;30.55,,
FLU;Flushing;New York;United States;US;5.5;-70.483333;67;5128581;6252001;5.5,,
EWD;Wildman Lake;Wildman Lake;United States;US;-12.333333;131.933333;67;\N;6252001;-12.333333,,
MKT;Municipal;Mankato;United States;US;44.15;-93.983333;67;5036420;6252001;44.15,,
HDE;Brewster Field;Holdrege;United States;US;40.433333;-99.366667;67;5070216;6252001;40.433333,,
MLY;Manley Hot Springs;Manley Hot Springs;United States;US;65.0;-150.633333;67;\N;6252001;65.0,,
JAJ;Perimeter Mall;Atlanta;United States;US;9.716667;-82.983333;67;4883772;6252001;9.716667,,
WOO;Woodchopper;Woodchopper;United States;US;65.3;-143.483333;67;\N;6252001;65.3,,
JDM;Downtown Heliport;Miami;United States;US;10.016667;-73.65;67;5304640;6252001;10.016667,,
WTR;White River;White River;United States;US;33.816667;-109.983333;67;\N;6252001;33.816667,,
