2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2024 Passengers (10% sample)
1,LAX,Los Angeles International,Los Angeles,CA,407.41,407.41,"1,284,083"
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,376.15,376.15,"1,089,038"
3,DEN,Denver International,Denver,CO,351.81,351.81,"1,023,630"
4,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,409.34,409.34,"1,012,618"
5,BOS,Logan International,Boston,MA,369.65,369.65,"986,868"
6,EWR,Newark Liberty International,Newark,NJ,426.52,426.52,"940,299"
7,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,415.35,415.35,"894,683"
8,SEA,Seattle/Tacoma International,Seattle,WA,396.6,396.6,"880,202"
9,MCO,Orlando International,Orlando,FL,275.79,275.79,"845,562"
10,SFO,San Francisco International,San Francisco,CA,452.89,452.89,"844,286"
11,PHX,Phoenix Sky Harbor International,Phoenix,AZ,370.82,370.82,"825,399"
12,LGA,LaGuardia,New York-La Guardia,NY,331.91,331.91,"795,129"
13,JFK,John F. Kennedy International,New York-JFK,NY,427.07,427.07,"750,626"
14,LAS,Harry Reid International,Las Vegas,NV,285.46,285.46,"675,568"
15,MSP,Minneapolis-St Paul International,Minneapolis,MN,392.71,392.71,"657,943"
16,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,406.23,406.23,"627,878"
17,PHL,Philadelphia International,Philadelphia,PA,394.54,394.54,"618,958"
18,SAN,San Diego International,San Diego,CA,373.79,373.79,"596,023"
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,265.32,265.32,"585,196"
20,DTW,Detroit Metro Wayne County,Detroit,MI,431.74,431.74,"572,843"
21,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,379.6,379.6,"547,638"
22,TPA,Tampa International,Tampa,FL,330.3,330.3,"534,514"
23,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,362.3,362.3,"489,183"
24,MIA,Miami International,Miami,FL,340.57,340.57,"478,084"
25,AUS,Austin - Bergstrom International,Austin,TX,398.98,398.98,"472,888"
26,CLT,Charlotte Douglas International,Charlotte,NC,422.67,422.67,"446,301"
27,PDX,Portland International,Portland,OR,393.33,393.33,"441,785"
28,BNA,Nashville International,Nashville,TN,357.19,357.19,"441,195"
29,SLC,Salt Lake City International,Salt Lake City,UT,434.26,434.26,"434,499"
30,RDU,Raleigh-Durham International,Raleigh/Durham,NC,364.02,364.02,"403,082"
31,SMF,Sacramento International,Sacramento,CA,387.84,387.84,"367,629"
32,HNL,Daniel K Inouye International,Honolulu,HI,369.74,369.74,"355,128"
33,MDW,Chicago Midway International,Chicago-Midway,IL,306.96,306.96,"349,329"
34,STL,St Louis Lambert International,St. Louis,MO,397.36,397.36,"317,689"
35,IAD,Washington Dulles International,Washington-Dulles,DC,490.14,490.14,"316,263"
36,SJC,Norman Y. Mineta San Jose International,San Jose,CA,336.26,336.26,"305,263"
37,MCI,Kansas City International,Kansas City,MO,401.47,401.47,"297,424"
38,DAL,Dallas Love Field,Dallas-Love Field,TX,337.15,337.15,"289,935"
39,IND,Indianapolis International,Indianapolis,IN,385.38,385.38,"289,135"
40,CLE,Cleveland-Hopkins International,Cleveland,OH,362.71,362.71,"275,340"
41,PIT,Pittsburgh International,Pittsburgh,PA,367.09,367.09,"273,272"
42,OAK,Metro Oakland International,Oakland,CA,319.09,319.09,"268,902"
43,MSY,Louis Armstrong New Orleans International,New Orleans,LA,333.69,333.69,"268,725"
44,SJU,Luis Munoz Marin International,San Juan,PR,277.9,277.9,"262,979"
45,SAT,San Antonio International,San Antonio,TX,398.9,398.9,"261,417"
46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,360.66,360.66,"254,552"
