,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,average_fare
0,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4709.0,918.0,290.51,64.52,218.54,342.9,72.0,15.0,76910.0,26832.0,7908.0,8872.0,33267.0,279.81
1,ABI,"Abilene, TX: Abilene Regional",1757.0,404.0,87.71,30.14,106.09,180.06,15.0,1.0,25690.0,4625.0,2706.0,4501.0,13858.0,590.56
2,ABQ,"Albuquerque, NM: Albuquerque International Sunport",25270.0,5175.0,1949.92,134.7,895.47,2186.0,186.0,30.0,299694.0,110781.0,12421.0,35499.0,140627.0,409.64
3,ABR,"Aberdeen, SD: Aberdeen Regional",728.0,140.0,100.61,26.58,12.83,0.0,6.0,1.0,14515.0,10924.0,2795.0,796.0,0.0,725.58
4,ABY,"Albany, GA: Southwest Georgia Regional",765.0,160.0,114.24,28.92,14.9,1.95,6.0,3.0,14953.0,10955.0,3001.0,939.0,58.0,764.48
5,ACK,"Nantucket, MA: Nantucket Memorial",1927.0,312.0,116.87,32.53,91.67,70.91,54.0,21.0,24758.0,10316.0,3073.0,4896.0,6473.0,321.21
6,ACT,"Waco, TX: Waco Regional",1087.0,238.0,107.28,28.32,31.990000000000002,69.42999999999999,30.0,0.0,16113.0,6710.0,2805.0,1951.0,4603.0,586.68
7,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1737.0,381.0,143.44,32.28,106.5,98.47,28.0,18.0,32261.0,9722.0,7458.0,6761.0,8315.0,478.59
8,ACY,"Atlantic City, NJ: Atlantic City International",3049.0,656.0,178.2,21.61,247.92,199.24,58.0,5.0,43561.0,11435.0,1127.0,15486.0,15115.0,143.28
9,ADK,"Adak Island, AK: Adak",104.0,11.0,3.81,0.0,4.1899999999999995,3.0,8.0,2.0,657.0,325.0,0.0,117.0,215.0,825.72
10,ADQ,"Kodiak, AK: Kodiak Airport",816.0,121.0,31.249999999999996,12.19,16.240000000000002,61.32,28.0,1.0,6513.0,1845.0,783.0,605.0,3280.0,546.04
11,AEX,"Alexandria, LA: Alexandria International",1966.0,286.0,137.69,36.29,52.9,58.18,36.0,12.0,19951.0,10099.0,3047.0,2876.0,3870.0,631.45
12,AGS,"Augusta, GA: Augusta Regional at Bush Field",5043.0,941.0,341.22,99.78999999999999,198.54,298.34000000000003,105.0,10.0,87803.0,28455.0,21514.0,8520.0,29193.0,556.55
13,AKN,"King Salmon, AK: King Salmon Airport",475.0,72.0,27.98,4.31,13.850000000000001,25.85,8.0,1.0,3272.0,1288.0,234.0,459.0,1291.0,555.67
14,ALB,"Albany, NY: Albany International",15781.0,3508.0,1372.73,129.23,655.61,1340.26,190.0,38.0,254514.0,98042.0,19858.0,28266.0,107793.0,429.69
15,ALO,"Waterloo, IA: Waterloo Regional",675.0,127.0,27.41,10.64,25.75,63.22,18.0,1.0,9523.0,1944.0,987.0,1308.0,5284.0,524.99
16,ALW,"Walla Walla, WA: Walla Walla Regional",724.0,109.0,32.86,5.97,20.47,49.7,27.0,0.0,5191.0,1397.0,298.0,871.0,2625.0,508.21
17,AMA,"Amarillo, TX: Rick Husband Amarillo International",5940.0,1170.0,405.82,59.64,202.32999999999998,500.99,89.0,11.0,74863.0,22693.0,6612.0,9493.0,36023.0,436.41
18,ANC,"Anchorage, AK: Ted Stevens Anchorage International",22664.0,4840.0,1276.3700000000001,119.04,1546.13,1783.79,398.0,29.0,241593.0,71163.0,10890.0,49498.0,106342.0,530.75
19,APN,"Alpena, MI: Alpena County Regional",629.0,124.0,89.93,22.13,11.94,0.0,18.0,5.0,11228.0,8018.0,2303.0,907.0,0.0,688.07
20,ART,"Watertown, NY: Watertown International",673.0,78.0,16.56,7.75,14.01,39.51,27.0,12.0,11504.0,1049.0,2420.0,930.0,7102.0,427.41
21,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",7891.0,2082.0,944.74,201.08,544.52,389.36,337.0,291.0,182494.0,76905.0,29757.0,39220.0,36434.0,656.36
22,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",342538.0,58817.0,18453.0,2219.57,15786.22,22221.329999999998,3583.0,566.0,4511977.0,1818526.0,241509.0,763292.0,1682484.0,409.34
23,ATW,"Appleton, WI: Appleton International",7425.0,1668.0,668.11,161.51,336.18,501.46999999999997,117.0,34.0,141042.0,54139.0,25326.0,17318.0,44219.0,399.73
24,AUS,"Austin, TX: Austin - Bergstrom International",86188.0,19633.0,6158.11,524.77,5503.0599999999995,7394.09,838.0,196.0,1227946.0,419091.0,54762.0,229072.0,522983.0,398.98
25,AVL,"Asheville, NC: Asheville Regional",13136.0,2622.0,743.05,145.51,785.17,943.39,383.0,34.0,218495.0,64323.0,28391.0,40501.0,85124.0,329.04
26,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",3022.0,749.0,232.12,33.39,189.06,292.25,32.0,9.0,59800.0,18485.0,6616.0,7142.0,27457.0,488.15
27,AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",5885.0,1012.0,327.31,63.379999999999995,277.51,339.15,46.0,5.0,93266.0,34794.0,15386.0,11599.0,31175.0,146.95
28,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",1901.0,405.0,199.22,45.22,56.24,104.33,31.0,6.0,35990.0,17027.0,6389.0,2557.0,10017.0,495.71
29,BDL,"Hartford, CT: Bradley International",23624.0,5407.0,1988.88,138.03,1164.59,2101.75,284.0,25.0,357653.0,137538.0,12881.0,51007.0,155719.0,375.58
30,BET,"Bethel, AK: Bethel Airport",824.0,149.0,51.75,15.99,31.1,50.2,10.0,0.0,7786.0,2521.0,1132.0,1235.0,2898.0,420.66
31,BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",627.0,107.0,42.28,8.86,17.03,38.83,13.0,2.0,7975.0,2868.0,1080.0,1095.0,2932.0,491.5
32,BFL,"Bakersfield, CA: Meadows Field",2683.0,495.0,194.87,17.13,80.84,202.15,16.0,4.0,38042.0,15775.0,2070.0,3794.0,16403.0,558.21
33,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",367.0,48.0,18.42,3.9000000000000004,9.84,15.83,11.0,4.0,3586.0,1005.0,1169.0,405.0,1007.0,408.22
34,BGR,"Bangor, ME: Bangor International",5160.0,965.0,284.97,43.49,262.28,373.59000000000003,156.0,15.0,72650.0,22977.0,11743.0,12033.0,25862.0,433.09
35,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",19250.0,4143.0,1473.69,157.47,884.4,1616.8,238.0,15.0,269184.0,90183.0,15150.0,39499.0,123767.0,496.14
36,BIH,"Bishop, CA: Bishop Airport",274.0,68.0,28.73,5.55,16.39,17.33,18.0,1.0,5715.0,2433.0,716.0,1000.0,1566.0,474.81
37,BIL,"Billings, MT: Billings Logan International",5350.0,910.0,378.26,47.91,163.62,320.17,32.0,8.0,55707.0,21853.0,3795.0,6556.0,23503.0,489.11
38,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",3976.0,691.0,340.0,75.07,115.47,160.38,33.0,10.0,46135.0,22585.0,7343.0,5363.0,10834.0,468.54
39,BJI,"Bemidji, MN: Bemidji Regional",730.0,124.0,95.78,15.93,12.209999999999999,0.0,6.0,3.0,15185.0,12285.0,2042.0,856.0,0.0,688.12
40,BLI,"Bellingham, WA: Bellingham International",2543.0,454.0,116.73,16.19,95.48,222.57999999999998,14.0,1.0,25702.0,6862.0,2023.0,4325.0,12361.0,283.95
41,BLV,"Belleville, IL: Scott AFB MidAmerica St Louis",1096.0,228.0,82.3,21.95,37.800000000000004,85.5,24.0,4.0,20386.0,10772.0,2390.0,1640.0,5574.0,134.69
42,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",2574.0,457.0,117.08,46.36,104.46000000000001,189.05,39.0,6.0,40061.0,7862.0,10379.0,5648.0,16172.0,464.09
43,BNA,"Nashville, TN: Nashville International",100909.0,19258.0,6238.07,577.63,3895.06,8485.74,1221.0,204.0,1230094.0,404990.0,56292.0,187482.0,578411.0,357.19
44,BOI,"Boise, ID: Boise Air Terminal",27079.0,4858.0,1939.66,208.56,900.11,1792.05,138.0,29.0,277490.0,111717.0,18490.0,36967.0,109556.0,408.16
45,BOS,"Boston, MA: Logan International",144833.0,32350.0,9102.34,850.89,11412.3,10931.37,2057.0,273.0,2442830.0,781678.0,93273.0,646604.0,918857.0,369.65
46,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",730.0,106.0,49.84,19.87,18.42,16.87,18.0,9.0,10322.0,2834.0,5021.0,1100.0,1336.0,491.82
47,BQK,"Brunswick, GA: Brunswick Golden Isles",795.0,178.0,131.43,29.369999999999997,13.98,3.26,1.0,1.0,19352.0,14634.0,3694.0,851.0,173.0,609.7
48,BQN,"Aguadilla, PR: Rafael Hernandez",2445.0,710.0,300.98,19.84,164.47,220.51,31.0,8.0,45265.0,18148.0,2105.0,8476.0,16409.0,238.18
49,BRD,"Brainerd, MN: Brainerd Lakes Regional",649.0,98.0,67.75,16.79,13.459999999999999,0.0,4.0,2.0,7808.0,5242.0,1793.0,773.0,0.0,651.88
50,BRO,"Brownsville, TX: Brownsville South Padre Island International",3276.0,543.0,227.84,41.74,110.7,160.74,71.0,8.0,40981.0,17618.0,4783.0,4408.0,12798.0,376.72
51,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",417.0,104.0,38.49,4.0,17.15,44.33,20.0,3.0,4842.0,2253.0,111.0,452.0,2026.0,514.41
52,BTM,"Butte, MT: Bert Mooney",690.0,69.0,53.36,9.62,5.01,0.0,0.0,1.0,4055.0,2977.0,810.0,166.0,0.0,617.47
53,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",6629.0,1324.0,496.73,93.06,264.68,466.77,136.0,14.0,104102.0,34394.0,12762.0,11516.0,45356.0,510.23
54,BTV,"Burlington, VT: Burlington International",9024.0,1711.0,571.27,70.99,441.82,622.39,147.0,21.0,119720.0,39492.0,10812.0,19155.0,50094.0,488.52
55,BUF,"Buffalo, NY: Buffalo Niagara International",24469.0,5381.0,2087.7599999999998,159.42,1062.95,2061.48,517.0,31.0,357614.0,135280.0,21444.0,46279.0,154170.0,338.73
56,BUR,"Burbank, CA: Bob Hope",30889.0,6109.0,1892.59,85.08,1347.48,2774.06,300.0,100.0,338460.0,106178.0,7486.0,58132.0,166235.0,317.95
57,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",98827.0,19196.0,5541.7,371.86,4629.15,8557.27,1156.0,151.0,1118315.0,322659.0,36862.0,214648.0,540521.0,362.3
