airport,airport_name,arr_flights,arr_del15,average_fare,delay_rate,cost_per_delayed_passenger
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",4709.0,918.0,279.81,0.19494584837545126,2003.4
ABI,"Abilene, TX: Abilene Regional",1757.0,404.0,590.56,0.22993739328400684,2003.4
ABQ,"Albuquerque, NM: Albuquerque International Sunport",25270.0,5175.0,409.64,0.20478828650573802,2003.4
ABR,"Aberdeen, SD: Aberdeen Regional",728.0,140.0,725.58,0.19230769230769232,2003.4
ABY,"Albany, GA: Southwest Georgia Regional",765.0,160.0,764.48,0.20915032679738563,2003.4
ACK,"Nantucket, MA: Nantucket Memorial",1927.0,312.0,321.21,0.16190970420342501,2003.4
ACT,"Waco, TX: Waco Regional",1087.0,238.0,586.68,0.21895124195032198,2003.4
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1737.0,381.0,478.59,0.21934369602763384,2003.4
ACY,"Atlantic City, NJ: Atlantic City International",3049.0,656.0,143.28,0.2151525090193506,2003.4
ADK,"Adak Island, AK: Adak",104.0,11.0,825.72,0.10576923076923077,2003.4
ADQ,"Kodiak, AK: Kodiak Airport",816.0,121.0,546.04,0.1482843137254902,2003.4
AEX,"Alexandria, LA: Alexandria International",1966.0,286.0,631.45,0.14547304170905392,2003.4
AGS,"Augusta, GA: Augusta Regional at Bush Field",5043.0,941.0,556.55,0.1865952805869522,2003.4
AKN,"King Salmon, AK: King Salmon Airport",475.0,72.0,555.67,0.15157894736842106,2003.4
ALB,"Albany, NY: Albany International",15781.0,3508.0,429.69,0.22229263037830302,2003.4
ALO,"Waterloo, IA: Waterloo Regional",675.0,127.0,524.99,0.18814814814814815,2003.4
ALW,"Walla Walla, WA: Walla Walla Regional",724.0,109.0,508.21,0.1505524861878453,2003.4
AMA,"Amarillo, TX: Rick Husband Amarillo International",5940.0,1170.0,436.41,0.19696969696969696,2003.4
ANC,"Anchorage, AK: Ted Stevens Anchorage International",22664.0,4840.0,530.75,0.21355453582774445,2003.4
APN,"Alpena, MI: Alpena County Regional",629.0,124.0,688.07,0.1971383147853736,2003.4
ART,"Watertown, NY: Watertown International",673.0,78.0,427.41,0.11589895988112928,2003.4
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",7891.0,2082.0,656.36,0.2638448865796477,2003.4
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",342538.0,58817.0,409.34,0.17170941618156232,2003.4
ATW,"Appleton, WI: Appleton International",7425.0,1668.0,399.73,0.22464646464646465,2003.4
AUS,"Austin, TX: Austin - Bergstrom International",86188.0,19633.0,398.98,0.22779273216689097,2003.4
AVL,"Asheville, NC: Asheville Regional",13136.0,2622.0,329.04,0.1996041412911084,2003.4
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",3022.0,749.0,488.15,0.24784910655195236,2003.4
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",5885.0,1012.0,146.95,0.17196261682242991,2003.4
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",1901.0,405.0,495.71,0.2130457653866386,2003.4
BDL,"Hartford, CT: Bradley International",23624.0,5407.0,375.58,0.22887741280054183,2003.4
BET,"Bethel, AK: Bethel Airport",824.0,149.0,420.66,0.1808252427184466,2003.4
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",627.0,107.0,491.5,0.17065390749601275,2003.4
BFL,"Bakersfield, CA: Meadows Field",2683.0,495.0,558.21,0.18449496831904585,2003.4
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",367.0,48.0,408.22,0.1307901907356948,2003.4
BGR,"Bangor, ME: Bangor International",5160.0,965.0,433.09,0.187015503875969,2003.4
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",19250.0,4143.0,496.14,0.21522077922077923,2003.4
BIH,"Bishop, CA: Bishop Airport",274.0,68.0,474.81,0.24817518248175183,2003.4
BIL,"Billings, MT: Billings Logan International",5350.0,910.0,489.11,0.17009345794392525,2003.4
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",3976.0,691.0,468.54,0.1737927565392354,2003.4
BJI,"Bemidji, MN: Bemidji Regional",730.0,124.0,688.12,0.16986301369863013,2003.4
BLI,"Bellingham, WA: Bellingham International",2543.0,454.0,283.95,0.17852929610696028,2003.4
BLV,"Belleville, IL: Scott AFB MidAmerica St Louis",1096.0,228.0,134.69,0.20802919708029197,2003.4
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",2574.0,457.0,464.09,0.17754467754467754,2003.4
BNA,"Nashville, TN: Nashville International",100909.0,19258.0,357.19,0.19084521697767295,2003.4
