ORIGIN_AIRPORT_ID,Year,Origin Airport Code,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs),Origin City Name,Origin Airport Name
10011,2024,1G4,931,11217,14548,77.1,12.04833512352309,15.62620837808808,52.95596133190118,52.5825978425604,2958600,0,0,931,11217,14548,77.1,12.04833512352309,15.62620837808808,52.95596133190118,52.5825978425604,2958600,0,0,,,,,,,,,,,,,,,,,,,,,,,Peach Springs (1G4),Grand Canyon West (1G4)
10056,2024,A43,939,964,5474,17.6,1.026624068157614,5.829605963791267,41.07987220447284,48.76970954356847,1068350,207614,21728,939,964,5474,17.6,1.026624068157614,5.829605963791267,41.07987220447284,48.76970954356847,1068350,207614,21728,,,,,,,,,,,,,,,,,,,,,,,Kodiak Island (A43),Trident Basin Seaplane Base (A43)
10135,2024,ABE,6622,451633,528841,85.4,68.20190274841438,79.86122017517367,755.2410147991543,793.7833395699606,352118683,123162803,0,6621,451492,528682,85.4,68.19090771786739,79.84926748225344,755.168856668177,793.6461731326358,352079248,123162330,0,1,141,159,88.7,141,159,1233,1233,39435,473,0,6,508,552,92,84.66666666666667,92,1358.833333333333,1107.228346456693,142409,616,0,Allentown/Bethlehem/Easton (ABE),Lehigh Valley International (ABE)
10136,2024,ABI,2315,97461,135568,71.9,42.09978401727862,58.56069114470842,166.0859611231101,179.6391992694514,36063571,462392,0,2315,97461,135568,71.9,42.09978401727862,58.56069114470842,166.0859611231101,179.6391992694514,36063571,462392,0,,,,,,,,,,,,2,126,152,82.9,63,76,550,531.015873015873,38060,0,0,Abilene (ABI),Abilene Regional (ABI)
10139,2024,ABL,1047,3863,8586,45,3.689589302769818,8.200573065902578,82.24164278892073,77.3660367589956,3786448,84324,64165,1047,3863,8586,45,3.689589302769818,8.200573065902578,82.24164278892073,77.3660367589956,3786448,84324,64165,,,,,,,,,,,,,,,,,,,,,,,Ambler (ABL),Ambler River (ABL)
10140,2024,ABQ,30167,2729021,3538166,77.1,90.46378493055326,117.2859747406106,619.7302681738323,684.0780100263062,1044129131,43809885,2574456,30167,2729021,3538166,77.1,90.46378493055326,117.2859747406106,619.7302681738323,684.0780100263062,1044129131,43809885,2574456,,,,,,,,,,,,5,744,838,88.8,148.8,167.6,1565.6,1576.877688172043,204668,335,0,Albuquerque (ABQ),Albuquerque International Sunport (ABQ)
10141,2024,ABR,981,23769,46803,50.8,24.22935779816514,47.70948012232416,231.9602446483181,263.3936640161555,8530092,157994,0,981,23769,46803,50.8,24.22935779816514,47.70948012232416,231.9602446483181,263.3936640161555,8530092,157994,0,,,,,,,,,,,,,,,,,,,,,,,Aberdeen (ABR),Aberdeen Regional (ABR)
10146,2024,ABY,1276,30311,55211,54.9,23.75470219435737,43.26880877742947,242.9710031347962,145.1873907162416,63450830,12534363,19887,1276,30311,55211,54.9,23.75470219435737,43.26880877742947,242.9710031347962,145.1873907162416,63450830,12534363,19887,,,,,,,,,,,,,,,,,,,,,,,Albany (ABY),Southwest Georgia Regional (ABY)
10154,2024,ACK,10955,152059,232446,65.4,13.88032861706983,21.21825650387951,116.9009584664537,212.2011324551654,63579224,111803,150523,10935,152017,232333,65.4,13.90187471422039,21.24673068129858,114.969638774577,211.8521152239552,63534287,111803,150523,20,42,113,37.2,2.1,5.65,1172.85,1475.452380952381,44937,0,0,3,4,14,28.6,1.333333333333333,4.666666666666667,1936.666666666667,3114,2801,0,0,Nantucket (ACK),Nantucket Memorial (ACK)
10155,2024,ACT,1176,57723,82996,69.5,49.08418367346939,70.57482993197279,120.405612244898,137.3647419572787,18627702,29393,0,1175,57644,82810,69.6,49.05872340425532,70.47659574468085,119.4153191489362,135.7933002567483,18579402,29393,0,1,79,186,42.5,79,186,1284,1284,48300,0,0,2,146,152,96.1,73,76,853.5,864.8835616438356,37950,0,0,Waco (ACT),Waco Regional (ACT)
10157,2024,ACV,2413,133676,164135,81.4,55.3982594280978,68.02113551595524,424.3319519270618,488.3374876567222,41257425,378894,0,2413,133676,164135,81.4,55.3982594280978,68.02113551595524,424.3319519270618,488.3374876567222,41257425,378894,0,,,,,,,,,,,,,,,,,,,,,,,Arcata/Eureka (ACV),California Redwood Coast Humboldt County (ACV)
