Origin Airport Code,Total Departures,Latitude,Longitude
ABE,6622,40.652222,-75.440278
ABI,2315,32.416667,-99.683333
ABL,1047,67.1,-157.816667
ABQ,30167,35.040278,-106.609167
ABR,981,45.45,-98.433333
ABY,1276,31.533333,-84.2
ACK,10955,41.266667,-70.066667
ACT,1176,31.616667,-97.233333
ACV,2413,40.983333,-124.1
ACY,3683,39.466667,-74.583333
ADQ,6229,57.75,-152.483333
AET,667,66.55,-152.65
AGN,776,57.5,-134.583333
AGS,5073,33.366667,-81.966667
AIA,628,42.066667,-102.8
AIN,1530,70.633333,-160.033333
AKI,1488,60.9,-161.233333
AKN,5467,58.516667,-156.633333
AKP,1145,68.133333,-151.733333
ALB,16758,42.733333,-73.8
ALO,683,42.55,-92.383333
ALS,630,37.433333,-105.866667
ALW,709,46.1,-118.3
ANC,93820,61.174444,-149.996389
ANI,3801,61.583333,-159.533333
ANV,375,62.65,-160.216667
AOO,598,40.3,-78.316667
APN,856,45.083333,-83.55
ARC,741,68.116667,-145.583333
ART,654,43.983333,-76.016667
ASE,7566,39.223056,-106.868889
ATK,990,70.466667,-157.333333
ATT,2111,61,-162.75
ATW,7656,44.266667,-88.516667
ATY,627,44.916667,-97.15
AUG,1193,44.316667,-69.8
AUK,2943,62.683333,-164.633333
AUS,93653,30.194444,-97.67
AVL,12854,35.436111,-82.541667
AZO,1926,42.235,-85.551944
BED,732,42.466667,-71.283333
BET,41962,60.783333,-161.833333
BFD,1059,41.8,-78.633333
BFF,922,41.866667,-103.6
BFI,5010,47.53,-122.301944
BFL,3206,35.433611,-119.056667
BFM,594,47.25,-52.85
BGR,5734,44.8,-68.816667
BHB,1727,44.45,-68.366667
IFP,657,30.733333,72.816667
BHM,19913,33.566667,-86.75
BID,3266,41.169444,-71.583333
BIH,516,37.366667,-118.35
BIL,11185,45.8,-108.533333
BIS,4361,46.783333,-100.75
BJC,1493,39.933333,-105.066667
BJI,993,47.516667,-94.933333
BKC,1309,65.983333,-161.166667
BKW,1444,37.783333,-81.116667
BLD,3232,8.734444,-9.798611
BLI,3482,48.8,-122.533333
BLV,1073,44.166667,-77.383333
BOS,189080,42.363056,-71
BPT,724,30.083333,-94.1
BQK,818,31.25,-81.45
BRL,1054,40.783333,-91.116667
BRO,3386,25.916667,-97.416667
BRW,3963,71.333333,-156.65
BTI,791,70.133333,-143.633333
BTR,6673,30.533333,-91.15
BTT,659,66.916667,-151.516667
BTV,9535,44.471944,-73.153333
BUR,38716,34.2,-118.35
BZN,11820,45.7775,-111.153056
CCR,686,37.983333,-122.052778
CDB,1640,55.2,-162.716667
CDC,895,37.7,-113.1
CDV,1136,60.483333,-145.483333
CEC,759,41.783333,-124.233333
CEZ,1255,37.316667,-108.633333
CGI,630,37.216667,-89.566667
CHO,6731,38.133333,-78.45
CHS,30146,-80.040556,67
CID,9906,41.884722,-91.710833
CIK,392,66.65,-143.75
CIU,980,46.25,-84.466667
CKB,874,39.3,-80.233333
CLE,46009,41.416667,-81.85
CLM,510,48.133333,-123.5
CLP,534,58.85,-158.5
CLT,272132,35.216667,-80.933333
CMH,45068,40,-82.883333
CMI,1655,40.033333,-88.283333
CMX,962,47.123611,-88.573333
CNM,982,32.333333,-104.266667
CNY,674,38.766667,-109.75
COD,922,44.516667,-109.033333
COS,13865,38.816667,-104.716667
COU,2148,38.95,-92.333333
CRW,3650,38.366667,-81.6
CVN,619,34.416667,-103.083333
CVO,498,44.5,-123.283333
CWA,2003,44.769444,-89.683056
CXF,1432,67.266667,-150.166667
CYF,1994,60.2,-164.183333
CYS,687,41.15,-104.8
DAB,3078,29.183333,-81.05
DAL,75528,32.852778,-96.85
DDC,624,37.766667,-99.966667
DEC,775,39.833333,-88.866667
DEN,336758,39.861667,-104.673056
DHN,1021,31.316667,-85.45
DIK,921,46.8,-102.8
DLG,6244,59.066667,-158.466667
DLH,2552,46.833333,-92.183333
DRG,937,66.083333,-162.766667
DRO,4334,37.15,-107.75
DRT,487,29.366667,-100.916667
DUJ,1821,41.178333,-78.898611
DUT,2562,53.9,-166.533333
DVL,660,48.116667,-98.9
EAR,935,40.733333,-99.016667
EAT,1211,47.4,-120.2
