,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    World,2108.319132,2087.354564,2009.321661,2039.580094,2237.225167,2340.562488,2495.868486,3025.55058,3365.833429,3546.233885,3627.774806,3486.118685,3530.008429,3603.811233,3829.527069,3936.669893,4133.05851,4242.629269,4310.588518,4444.814023,4700.927137,4627.179652,4627.494773,4621.985428,4937.908602,5134.904506,5256.17848,5383.48393,5320.783678,5070.168605,5262.060748,5371.110662,5427.769723,5596.574895,5786.153614,6098.191929,6383.286346,6764.341233,7054.311572,7199.101928
        Afghanistan,1.441438261,1.647358013,1.606174062,2.265117268,2.265117268,2.676956771,2.8,3.3,3,3,3.1,2.9,2.2,2.2,2.1,2,1.8,1.7,1.7,1.7,1.473333333,1.412191781,1.08630137,1.042849315,1.343333333,1.412191781,1.412191781,1.455643836,1.56,2.020520548,0.695232877,1.303561644,1.105,1.108027397,1.118890411,1.442608,1.438666,1.459989041,6.5047726,1.15799726
        Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3,0.3,0,0,0,0.866666667,0.934219178,0.934219178,1.021123288,1.04,1.238383562,0.977671233,0.412794521,0.563333333,0.412794521,0.369342466,0.434520548,0.433333333,0.456246575,0.173808219,0.043452,0.152082,0.152082192,0.195534247,0.45624658
        Algeria,8.008423586,8.405535499,9.464500602,9.001203369,9.927797834,10.92057762,11,8.5,8.3,6.8,7,6.5,8.5,10,9.8,8.1,7.6,7.7,5.7,7.1,8.016666667,9.385643836,11.42789041,8.777315068,7.778333333,7.995178082,7.84309589,7.691013699,13.23833333,13.14424658,11,10,11,13,12,12,11,10.84128767,12.57936986,10.25468493
        American Samoa,0.7,0.825,1.15,0.725,0.825,0.775,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.563333333,0.564876712,0.543150685,0.543150685,0.541666667,0.564876712,0.56,0.56,0.56,0.56,0.56,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826,0.1826
        Angola,2.773109244,2.773109244,2.911764706,3.050420168,2.634453782,3.466386555,3.3,3.2,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.5,4,4.6,6.3,9.728333333,10.55884932,9.081479452,10.08087671,12.74,8.907671233,6.148465753,6.908876712,9.425,8.820767123,12,11,8,9,10.27641096,9.711534247,7.169589041,7.386849315,6.84369863,6.45321674
        Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Antigua and Barbuda,1.377022502,1.229484377,1.672098752,0.983587501,1.081946251,1.081946251,1.1,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.473333333,1.477369863,1.520821918,1.564273973,1.603333333,1.629452055,1.67290411,1.716356164,1.755,1.803260274,1.629452055,1.651178082,1.668333333,1.67290411,1.694630137,1.738082,1.755,1.629452055,1.04284932,1.04284932
        Argentina,15.59723153,15.09711989,14.62826524,14.90957803,14.47198035,12.97164546,14,16,14,13,14,13,13,16,20,21,31,26,33,31,38.43666667,28.15693151,23.42065753,23.22512329,25.19833333,25.76706849,24.61558904,26.33194521,27.12666667,28.46109589,29.50394521,29.19978082,29.66166667,30.67715068,32.56731507,30,32,33.56671233,29.85156164,29.48221918
        Armenia,,,,,,,--,--,--,--,--,--,3.5,1.4,1,0.7,1.4,0.4,0.5,0.5,1.321666667,1.260109589,1.108027397,0.564876712,0.823333333,0.955945205,0.847315068,1.216657534,1.213333333,0.630054795,0.934219178,0.955945205,1.021123288,0.99939726,0.912493151,1,1,1.173205479,1.3470137,1.49909589
