GameType,Year,Units,Unit %Δ,Win Amount,Win %Δ,WPU,WUD,Win%
Slot Machines,2000,"192,844",0,"6,191,018",7.00%,"32,103.76",87.72,5.23
Table Games,2000,"6,224",0,"3,348,503",5.46%,"537,998.55","1,469.94",14.18
BlackJack,2000,"3,682",0,"1,174,404",3.13%,"318,958.17",871.47,12.56
Baccarat,2000,105,0,"541,566",-2.32%,"5,157,771.43","14,092.27",18.35
Craps,2000,490,0,"491,660",8.00%,"1,003,387.76","2,741.50",13.53
Sports Book,2000,165,0,"123,836",13.36,"750,521.21","2,050.60",5.33
Poker,2000,473,0,"63,054",-0.28,"133,306.55",365.22,
Slot Machines,2001,"195,999",1.64%,"6,198,699",0.12%,"31,626.18",86.65,5.33
Table Games,2001,"6,182",-0.67%,"3,210,226",-4.13%,"519,285.99","1,422.70",14.49
BlackJack,2001,"3,605",-2.09%,"1,155,470",-1.61%,"320,518.72",878.13,12.92
Baccarat,2001,108,2.86%,"441,363",-18.50%,"4,086,694.44","11,196.42",17.77
Craps,2001,480,-2.04%,"466,285",-5.16%,"971,427.08","2,661.44",14.11
Sports Book,2001,162,-1.82%,"118,077",-4.65%,"728,870.37","1,996.91",5.78
Poker,2001,475,0.42%,"59,673",-5.36%,"125,627.37",344.18,
Slot Machines,2002,"186,430",-4.88%,"6,273,531",1.21%,"33,650.87",92.19,5.44
Table Games,2002,"5,841",-5.52%,"3,116,339",-2.92%,"533,528.33","1,461.72",15.12
BlackJack,2002,"3,425",-4.99%,"1,102,631",-4.57%,"321,936.06",882.02,13.01
Baccarat,2002,96,-11.11%,"419,661",-4.92%,"4,371,468.75","11,976.63",21.92
Craps,2002,453,-5.63%,"428,375",-8.13%,"945,640.18","2,590.80",13.79
Sports Book,2002,149,-8.02%,"110,383",-6.52%,"740,825.50","2,029.66",5.7
Poker,2002,386,-18.74%,"57,791",-3.15%,"149,717.62",410.19,
Slot Machines,2003,"184,266",-1.16%,"6,476,859",3.24%,"35,149.51",96.3,5.5
Table Games,2003,"5,800",-0.70%,"3,080,169",-1.16%,"531,063.62","1,454.97",14.8
BlackJack,2003,"3,349",-2.22%,"1,118,207",1.41%,"333,892.80",914.77,12.91
Baccarat,2003,90,-6.25%,"365,861",-12.82%,"4,065,122.22","11,137.32",19.62
